price,style,size,gen,gb,model,time,year,wifi,cellular,unlocked,color
244.99,ipad,10.,10.2,32GB,Model MW752LL/A,,2019,Wi-Fi,,,Silver
149.85,Air,1,9.7,64GB,,,,Wi-Fi,,,Gray
99.85,ipad,3r,9.7,32GB,,,,Wi-Fi,,,BLACK
79.99,ipad,3r,9.7,64GB,,,,Wi-Fi,,,Black
99.99,Air,,,32GB,,,,Wi-Fi,,,Gray
89.85,mini,1,7.9,16GB,,,,Wi-Fi,4G ,Unlocked,
129.85,Air,1,9.7,32GB,,,,Wi-Fi,,,Silver
379.85,Pro,1,12.9,128GB,,,,Wi-Fi,,,Gray
309.85,Pro,,9.7,128GB,,,,Wi-Fi,,,Gray
289.85,Pro,,9.7,32GB,,,,Wi-Fi,Cellular,Unlocked,Gold
211.39,Pro,,9.7,32GB,MM172LL/A,,,Wi-Fi,,,Gold
164.30,mini,3,7.9,128GB,,,,Wi-Fi,,,Silver
209.85,mini,4,7.9,16GB,,,,Wi-Fi,Cellular,Unlocked,Gold
305.00,Pro,,,64GB,MQF72LL/A,,,Wi-Fi,Sprint,,Gray
129.85,mini,2,7.9,32GB,,,,Wi-Fi,4G ,Unlocked,Silver
192.99,Mini,4,7.9,64GB,,,,,,,Gray
269.85,Pro,1,9.7,32GB,,,,Wi-Fi,,,Silver
79.85,ipad,3r,9.7,16GB,,,,Wi-Fi,,,BLACK
169.85,mini,3,7.9,16GB,,,,Wi-Fi,,,Gray
69.95,ipad,3r,9.7,32GB,,,,Wi-Fi,,,Black
189.85,ipad,5,9.7,32GB,,,2017,Wi-Fi,,,Gray
169.00,ipad,5,9.7,32GB,MP2F2LL/A,,2017,Wifi,,,Gray
269.00,ipad,7,10.2,32GB,MW742LL/A,,,Wi-Fi,,,Gray
119.85,Air,1,9.7,16GB,,,,Wi-Fi,,,Silver
239.00,ipad,6,9.7,32GB,MR7F2LL/A,,2018,Wi-Fi,,,Gray
239.85,ipad,6,9.7,32GB,,,2018,Wi-Fi,,,Gray
294.99,ipad,7,10.2,32GB,,,,Wi-Fi,,,Gray
68.99,ipad,2 ,9.7,16GB,MC769LL/A,,,Wi-Fi,,,Black
389.95,Air,3,,64GB,,,,Wi-Fi,,,Gray
129.95,ipad,2 ,9.7,16GB,MC769LL/A,,,Wi-Fi,,,Black
129.99,Air,2,9.7,64GB,A1566,,,Wi-Fi,,,Gray
249.00,ipad,7,,32GB,MW742LL/A,,,Wi-Fi,,,Gray
332.00,ipad,6,,128GB,MR7J2LL/A,,,Wi-Fi,,,Gray
139.85,Air,1,9.7,32GB,,,,Wi-Fi,,,Silver
279.95,ipad,7,10.2,32GB,MW742LL/A,,,Wi-Fi,,,Gray
119.85,Air,1,9.7,16GB,,,,WiFi,,,Gray
269.99,ipad,7,10.2,32GB,,,,WiFi,,,Gold
139.99,Air,,9.7,16GB,,,,Wi-Fi,,,Gold
335.00,ipad,7,10.2,128GB,,,,Wi-Fi,,,Silver
245.99,ipad,9.,9.7,32GB,MR7F2LL/A,,2018,Wi-Fi,,,Gray
229.00,ipad,6,,32GB,MRJN2LL/A,,,Wi-Fi,,,Gold
379.95,ipad,7,10.2,128GB,MW772LL/A,,,Wi-Fi,,,Gray
279.00,ipad,7,10.2,32GB,,,,Wi-Fi,,,Gray
350.00,Air,3,10.5,64GB,MUUJ2LL/A,,,Wi-Fi,,,Gray
439.85,Mini,,7.9,64GB,,,,Wi-Fi,4G ,Unlocked,Gray
289.85,mini,4,7.9,128GB,,,,Wi-Fi,Cellular,Unlocked,Gray
309.99,ipad,6,9.7,128GB,MR7J2LL/A,,2018,Wi-Fi,,,Gray
239.00,ipad,6,,32GB,MR7F2LL/A,,,Wi-Fi,,,Gray
250.00,ipad,6,9.7,128GB,,,,Wi-Fi,,,Gray
279.95,ipad,7,10.2,32GB,MW752LL/A,,,Wi-Fi,,,Silver
179.95,Mini,4,,64GB,MK9G2LL/A,,,Wi-Fi,,,Gray
160.00,ipad,5,9.7,32GB,MP1M2LL/A,,,Wi-Fi,Cellular,,Grey
107.11,ipad,3r,9.7,64GB,,,,Wi-Fi,Cellular,,Black
69.99,ipad,2 ,9.7,16GB,,,,Wi-Fi,,,Black
359.95,ipad,6,9.7,128GB,,,,Wi-Fi,4G ,Unlocked,Gray
274.50,ipad,7,10.2,32GB,MW742LL/A,,,Wi-Fi,,,Gray
940.00,Pro,3,11,256GB,,,,Wi-Fi,,,Silver
99.99,ipad,4 ,,16GB,,,,WiFi,,Unlocked,
639.95,Pro,3,11,64GB,,,,Wi-Fi,,,Gray
349.89,mini,4,7.9,128GB,,,,Wi-Fi,Cellular,,Gray
58.49,mini,1,7.9,16GB,,,,Wi-Fi,,,GREY
209.99,ipad,6,9.7,32GB,,,,Wi-Fi,Cellular,Unlocked,Gray
375.00,Pro,1,12.9,128GB,,,,Wi-Fi,4G ,Unlocked,
329.00,ipad,6,,128GB,MR7C2LL/A,,,,Cellular,,Gray
314.95,ipad,128G,10.2,128GB,Model MW772LL/A,,,Wi-Fi,,,Gray
570.00,pro,3,,,,,,wifi,,,
129.85,ipad,4,9.7,32GB,,,,Wi-Fi,,,BLACK
299.99,ipad,7,10.2,128GB,,,,Wi-Fi,,,Gray
189.32,Air,2,,16GB,MGHA2LL/A,,,WiFi,Sprint,,Silver
149.99,ipad,5,9.7,32GB,MP2F2LL/A,,,Wi-Fi,,,Gray
399.99,ipad,,10.2,128GB,,Late ,2019,Wi-Fi,,,Gray
600.00,Pro,3,11,64GB,,,,Wi-Fi,,,Silver
300.00,PRO,1,9.7,32GB,A1674,,,Wi-Fi,,,Gold
97.00,ipad,4,9.7,32GB,,,,Wi-Fi,,,Black
100.00,mini,2,7.9,32GB,,,,Wi-Fi,Cellular,Unlocked,Silver
165.00,Mini,3,,,A1599,,,Wi-Fi,,,Gray
1399.00,Pro,3,12.9,,,,,WiFi,,,
295.00,ipad,6,,128GB,MR7J2LL/A,,,Wi-Fi,,,Gray
119.95,ipad,4 ,9.7,16GB,,,,Wi-Fi,,,Black
139.95,Mini,2,,128GB,A1490,,,WiFi,4G ,Unlocked,
239.95,Pro,1,,128GB,,,,,Cellular,Unlocked,Gold
350.00,Pro,1,9.7,256GB,,,,Wi-Fi,,,Gold
385.99,Pro,2,10.5,256GB,A1701,,,Wi-Fi,,,Gray
115.00,Air,1,9.7,,A1474,,,Wi-Fi,,,
199.95,Air,,9.7,16GB,A1566,,,Wi-Fi,,,Black
650.00,Pro,3,11,64GB,,,,Wi-Fi,,,Silver
439.99,Pro,2,10.5,64GB,,,,Wi-Fi,Cellular,Unlocked,Gray
179.95,Air,,,16GB,,,,Wi-Fi,4G ,,Gray
264.99,ipad,7,,32GB,A2200,,,,,Unlocked,Gray
149.99,Air,1,9.7,16GB,A1474,,,Wi-Fi,,,Gray
100.00,Air,1,9.7,16GB,,,,Wi-Fi,,,Gray
309.99,ipad,7,10.2,32GB,,,,Wi-Fi,,,Gray
359.99,Mini,,7.9,64GB,,,,Wi-Fi,,,Silver
